fid,lat,long,index,2016,yield Kg/Feddan,2017,yield Kg/Feddan_1,2018,yield Kg/Feddan_2,2019,yield Kg/Feddan_3,2020,yield Kg/Feddan_4,2021,yield Kg/Feddan_5,2022,yield Kg/Feddan_6
"16",30.832675,30.783611,"1194",wheat,"3300",wheat-rice,3200-4100,wheat,"3100",rice,"4300",wheat,"3300",rice,"4000",wheat,"3100"
"17",30.83215203,30.78575905,"1136",,,wheat,"3200",,,wheat - rice,3400-4200,,,wheat - rice,3200-4200,,
"18",30.833804,30.783739,"1197",wheat,"3300",wheat-rice,3300-4200,wheat,"3200",rice,"4300",wheat,"3000",rice,"4200",wheat,"3300"
"19",30.83433272,30.78220479,"1186",wheat-rice,3100-4000,wheat,"3300",wheat-rice,3300-4100,rice,"4400",wheat-rice,3300-4400,rice,"4000",wheat-rice,3100-4200
"20",30.83516499,30.78224469,"1092",wheat,"3200",wheat - rice,3200-4000,wheat,"3300",wheat - rice,3300-4200,wheat,"3100",wheat - rice,3000-4100,wheat,"3100"
"21",30.83444183,30.78382418,"1192",wheat-rice,2900-4100,wheat,"3100",wheat-rice,3100-4100,rice,"4300",wheat-rice,3200-4200,rice,"4100",wheat-rice,3200-4200
"22",30.83410401,30.78432709,"1056",,,wheat,"3100",,,wheat,"3300",wheat,"2900",,,Wheat,"3100"
"23",30.83348402,30.78480318,"1196",wheat,"3200",wheat-rice,3100-4200,wheat,"3300",rice,"4200",wheat,"3000",rice,"4100",wheat,"3200"
"24",30.8353774,30.78383457,"1126",wheat,"3300",wheat - rice,3200-4100,wheat,"3300",rice,"4400",wheat,"3100",rice,"4000",wheat,"3100"
"25",30.83691789,30.78380976,"1199",wheat,"3300",wheat-rice,3300-4100,wheat,"3200",wheat-rice,3300-4300,wheat,"3100",wheat-rice,3100-4000,wheat,"3200"
"26",30.83769228,30.78462616,"1105",wheat,"3300",wheat - rice,3300-4300,wheat,"3100",wheat - rice,3200-4300,wheat,"3200",wheat - rice,3100-4000,wheat,"3100"
"27",30.83658074,30.78545563,"1054",rice,"4200",rice,"4300",wheat,"3300",,,rice,"3900",wheat,"3200",,
"28",30.83741875,30.7855998,"1049",,,wheat,"3300",rice,"4300",wheat,"3300",wheat,"2900",rice,"4100",Wheat,"3100"
"29",30.83546964,30.78557197,"1128",wheat,"3100",wheat - rice,3300-4100,wheat,"3300",rice,"4400",wheat,"3000",rice,"4100",wheat,"3000"
"30",30.83469833,30.78650236,"1214",wheat-rice,3100-4200,wheat,"3200",wheat-rice,3300-4200,rice,"4300",wheat-rice,3100-4200,rice,"4200",wheat-rice,3100-4200
"31",30.83340169,30.7866643,"1069",,,wheat,,,,wheat-rice,3100-4200,,,wheat-rice,3100-4200,,
"32",30.83244856,30.78779485,"1137",wheat - rice,3900-4100,wheat,"3100",wheat - rice,3100-4200,rice,"4300",wheat - rice,3200-4200,rice,"4100",wheat - rice,3200-4100
"33",30.83784955,30.78661334,"1051",wheat-rice,3100-4000,,,wheat-rice,3200-4000,,,,, wheat-rice,3100-4100,,
"34",30.83884147,30.78581739,"1106",wheat,"3200",wheat - rice,3200-4100,wheat,"3300",wheat - rice,3300-4200,wheat,"3200",wheat - rice,3300-4000,wheat,"3200"
"35",30.83691962,30.78692582,"1050",rice,"4000",wheat,"3200",rice,"4000",wheat,"3300",wheat,"3100",rice,"4100",Wheat,"3000"
"36",30.8353329,30.78754641,"1135",wheat,"3300",wheat - rice,3200-4300,wheat,"3300",rice,"4300",wheat,"3300",rice,"4200",wheat,"3200"
